,y_test,y_pred,residual
5901,2142,63499.37792158511,-61357.37792158511
2828,586,63864.51417189529,-63278.51417189529
3670,1090,63901.955070863405,-62811.955070863405
4396,1964,63923.94824166331,-61959.94824166331
417,3682,64093.299154176784,-60411.299154176784
2193,667,64241.17221194629,-63574.17221194629
556,2020,64371.71995784068,-62351.71995784068
2312,1785,64396.329002645165,-62611.329002645165
3606,839,64487.692571684296,-63648.692571684296
490,2027,64530.013849159666,-62503.013849159666
1013,2305,64570.63166205148,-62265.63166205148
4794,903,64600.54367088201,-63697.54367088201
603,807,64831.751656027816,-64024.751656027816
3587,1535,65154.20233900407,-63619.20233900407
1714,679,65294.38243162047,-64615.38243162047
4595,716,65461.96817128183,-64745.96817128183
3505,836,65567.91182944637,-64731.91182944637
2768,764,65603.0729090556,-64839.0729090556
4267,446,65921.124913862,-65475.124913862004
890,1754,66118.63232233968,-64364.632322339676
4040,1172,66121.04486188112,-64949.04486188112
1898,1284,66256.46654168448,-64972.46654168448
2207,1217,66394.44858229689,-65177.448582296885
135,909,66489.17905597584,-65580.17905597584
2964,580,66563.13032419501,-65983.13032419501
1972,821,66664.5526941732,-65843.5526941732
5452,1171,66833.49412865785,-65662.49412865785
528,1618,66889.28836010133,-65271.28836010133
4026,3428,67306.29382077325,-63878.29382077325
3809,4463,67785.60324484581,-63322.60324484581
4162,1860,68168.44875054374,-66308.44875054374
255,841,68339.38128974555,-67498.38128974555
1819,1402,68354.54815585066,-66952.54815585066
4757,624,68430.44652773229,-67806.44652773229
4376,950,68784.32675266213,-67834.32675266213
5665,661,68851.99462465031,-68190.99462465031
3773,300,68874.5335572252,-68574.5335572252
5553,6089,68890.5076088637,-62801.5076088637
6156,996,68983.81482024681,-67987.81482024681
657,902,69048.66460604276,-68146.66460604276
759,2404,69187.68314972037,-66783.68314972037
3319,602,69278.05557513387,-68676.05557513387
5234,3952,69638.42917314738,-65686.42917314738
5247,850,69944.96004569794,-69094.96004569794
4846,1636,70167.82631482388,-68531.82631482388
2109,300,70361.81818299915,-70061.81818299915
2902,850,70493.87001369339,-69643.87001369339
1850,1484,70531.55098250257,-69047.55098250257
735,1545,70860.35936663901,-69315.35936663901
4790,399,71765.27990373585,-71366.27990373585
4477,934,71796.77458511227,-70862.77458511227
4138,950,71836.42783199738,-70886.42783199738
3313,828,71899.99791435075,-71071.99791435075
471,375,71923.84118891005,-71548.84118891005
5824,921,71977.74250673773,-71056.74250673773
682,359,72110.05769122661,-71751.05769122661
5876,393,72248.5077383199,-71855.5077383199
4195,594,72488.27574565138,-71894.27574565138
3183,741,72575.65570530237,-71834.65570530237
5183,1362,73178.90750643704,-71816.90750643704
955,866,73200.99269540771,-72334.99269540771
1178,884,73274.36116148764,-72390.36116148764
3810,1049,73376.94959084025,-72327.94959084025
4254,350,73425.20112959687,-73075.20112959687
1812,699,73435.6503428832,-72736.6503428832
3370,1639,73575.22977073416,-71936.22977073416
812,700,73607.68366870389,-72907.68366870389
5275,660,73638.52179631722,-72978.52179631722
2621,961,73656.03813235696,-72695.03813235696
3250,1030,73670.78968968434,-72640.78968968434
2148,499,73977.15490651203,-73478.15490651203
1823,3736,74065.58667649905,-70329.58667649905
4826,2054,74141.53648438527,-72087.53648438527
1985,590,74350.46753130066,-73760.46753130066
6012,1596,74656.48575742877,-73060.48575742877
1146,900,74864.22144360704,-73964.22144360704
1254,385,74913.08288056236,-74528.08288056236
658,756,74956.53149225662,-74200.53149225662
2227,1700,75148.74176478383,-73448.74176478383
4499,649,75433.41452795178,-74784.41452795178
2103,775,75438.21343310077,-74663.21343310077
2887,6430,75471.48476723743,-69041.48476723743
5679,2713,75607.37962020161,-72894.37962020161
1181,2158,75790.11434611492,-73632.11434611492
3806,2524,75813.74104162218,-73289.74104162218
2299,1198,75816.03166725565,-74618.03166725565
4847,1985,76123.22479995515,-74138.22479995515
767,600,76406.70322680341,-75806.70322680341
4247,1450,76528.22412768507,-75078.22412768507
4358,884,76571.32427603037,-75687.32427603037
4747,1351,76700.37502259243,-75349.37502259243
3840,1100,76845.41166262241,-75745.41166262241
4570,3538,76923.56951284633,-73385.56951284633
3119,942,77106.26875420785,-76164.26875420785
1881,1039,77378.31568395003,-76339.31568395003
2812,926,77385.12286825311,-76459.12286825311
2214,1154,78008.15187373027,-76854.15187373027
6127,1265,78017.3262450895,-76752.3262450895
3213,950,78035.74903248918,-77085.74903248918
2527,1229,78342.071247882,-77113.071247882
3533,550,78500.2996501001,-77950.2996501001
4070,926,78575.25277559571,-77649.25277559571
3130,950,78631.5689567195,-77681.5689567195
2427,1300,78678.70673990101,-77378.70673990101
936,1064,78764.11938578526,-77700.11938578526
11,2014,78881.04910142616,-76867.04910142616
6220,1191,78974.41406844661,-77783.41406844661
2416,675,79033.96672826559,-78358.96672826559
4306,1598,79210.59037089134,-77612.59037089134
147,350,79348.03680425655,-78998.03680425655
6260,870,79359.58091193314,-78489.58091193314
5767,504,79367.39359425499,-78863.39359425499
398,1303,79373.26417769752,-78070.26417769752
3967,543,79490.51800402877,-78947.51800402877
2134,1341,79500.1835037938,-78159.1835037938
5828,2352,79605.11506285508,-77253.11506285508
5899,384,79690.88316947811,-79306.88316947811
3856,1475,79763.25702108422,-78288.25702108422
5504,260,79792.72459227887,-79532.72459227887
663,714,79900.46090526263,-79186.46090526263
3275,1080,79943.28379485132,-78863.28379485132
4348,1029,80352.33182526431,-79323.33182526431
2049,672,80468.95371154978,-79796.95371154978
5572,463,80738.5705674213,-80275.5705674213
4761,665,80978.50537701588,-80313.50537701588
1584,3000,81086.16004640271,-78086.16004640271
